=== METAHEURÍSTICA | SIZE: MEDIUM | LIMIT: 600s ===
-------------------------------------------------------------------------------------
Instancia              | Makespan   | Tiempo(s)  | LB       | GAP %
medium_18x2_1          | 988.8      | 9.85       | 971.0    | 1.83    
medium_18x2_2          | 772.2      | 8.55       | 756.0    | 2.14    
medium_18x2_3          | 922.4      | 8.99       | 908.0    | 1.59    
medium_18x2_4          | 942.0      | 7.53       | 923.0    | 2.06    
medium_18x2_5          | 1051.0     | 10.50      | 1035.0   | 1.55    
medium_18x3_1          | 652.6      | 15.08      | 638.0    | 2.29    
medium_18x3_2          | 753.4      | 14.57      | 736.0    | 2.36    
medium_18x3_3          | 689.0      | 17.92      | 676.0    | 1.92    
medium_18x3_4          | 631.4      | 12.48      | 615.0    | 2.67    
medium_18x3_5          | 633.2      | 14.83      | 620.0    | 2.13    
medium_18x4_1          | 501.2      | 16.30      | 485.0    | 3.34    
medium_18x4_2          | 504.4      | 16.86      | 490.0    | 2.94    
medium_18x4_3          | 460.4      | 17.63      | 445.0    | 3.46    
medium_18x4_4          | 488.8      | 23.29      | 472.0    | 3.56    
medium_18x4_5          | 511.0      | 21.62      | 492.0    | 3.86    
medium_19x2_1          | 1029.4     | 9.82       | 1016.0   | 1.32    
medium_19x2_2          | 993.6      | 6120.98    | 979.0    | 1.49    
medium_19x2_3          | 994.2      | 9.72       | 982.0    | 1.24    
medium_19x2_4          | 1035.4     | 9.56       | 1018.0   | 1.71    
medium_19x2_5          | 852.4      | 9.34       | 836.0    | 1.96    
medium_19x3_1          | 706.0      | 15.36      | 691.0    | 2.17    
medium_19x3_2          | 653.4      | 18.40      | 638.0    | 2.41    
medium_19x3_3          | 636.8      | 17.14      | 625.0    | 1.89    
medium_19x3_4          | 687.0      | 16.07      | 670.0    | 2.54    
medium_19x3_5          | 732.8      | 13.26      | 719.0    | 1.92    
medium_19x4_1          | 553.4      | 19.79      | 532.0    | 4.02    
medium_19x4_2          | 502.4      | 21.47      | 486.0    | 3.37    
medium_19x4_3          | 469.4      | 24.35      | 455.0    | 3.16    
medium_19x4_4          | 557.8      | 19.10      | 533.0    | 4.65    
medium_19x4_5          | 508.8      | 19.08      | 489.0    | 4.05    
medium_20x2_1          | 1040.2     | 10.41      | 1021.0   | 1.88    
medium_20x2_2          | 1162.4     | 10.06      | 1142.0   | 1.79    
medium_20x2_3          | 959.8      | 10.40      | 942.0    | 1.89    
medium_20x2_4          | 1074.6     | 10.32      | 1059.0   | 1.47    
medium_20x2_5          | 1122.0     | 12.28      | 1103.0   | 1.72    
medium_20x3_1          | 734.6      | 16.42      | 721.0    | 1.89    
medium_20x3_2          | 719.0      | 13.99      | 700.0    | 2.71    
medium_20x3_3          | 587.6      | 14.33      | 576.0    | 2.01    
medium_20x3_4          | 695.6      | 14.72      | 680.0    | 2.29    
medium_20x3_5          | 821.6      | 15.44      | 804.0    | 2.19    
medium_20x4_1          | 550.0      | 29.13      | 533.0    | 3.19    
medium_20x4_2          | 514.6      | 28.62      | 503.0    | 2.31    
medium_20x4_3          | 422.2      | 25.27      | 408.0    | 3.48    
medium_20x4_4          | 474.0      | 19.80      | 462.0    | 2.60    
medium_20x4_5          | 561.4      | 19.85      | 545.0    | 3.01    
