=== METAHEURÍSTICA | SIZE: MEDIUM | LIMIT: 600s ===
-------------------------------------------------------------------------------------
Instancia              | Makespan   | Tiempo(s)  | LB       | GAP %
medium_19x4_3          | 469.2      | 21.78      | 455.0    | 3.12    
medium_19x4_4          | 555.2      | 20.07      | 533.0    | 4.17    
medium_19x4_5          | 506.4      | 24.93      | 489.0    | 3.56    
medium_20x2_1          | 1040.6     | 11.78      | 1021.0   | 1.92    
medium_20x2_2          | 1163.2     | 10.34      | 1142.0   | 1.86    
medium_20x2_3          | 959.8      | 12.38      | 942.0    | 1.89    
medium_20x2_4          | 1077.0     | 11.10      | 1059.0   | 1.70    
medium_20x2_5          | 1123.0     | 10.13      | 1103.0   | 1.81    
medium_20x3_1          | 736.2      | 16.83      | 721.0    | 2.11    
medium_20x3_2          | 718.6      | 17.01      | 700.0    | 2.66    
medium_20x3_3          | 585.0      | 16.08      | 576.0    | 1.56    
medium_20x3_4          | 694.0      | 14.73      | 680.0    | 2.06    
medium_20x3_5          | 821.0      | 20.79      | 804.0    | 2.11    
medium_20x4_1          | 555.4      | 25.53      | 533.0    | 4.20    
medium_20x4_2          | 514.6      | 23.21      | 503.0    | 2.31    
medium_20x4_3          | 423.4      | 785.57     | 408.0    | 3.77    
medium_20x4_4          | 477.0      | 27.55      | 462.0    | 3.25    
medium_20x4_5          | 561.4      | 19.76      | 545.0    | 3.01  
